item,category,default_label,subcategory,notes
ETF,Investment,investment,ETF,"ETF is usually classified as investment, but final label may change using amount/time/baseline context."
emergency fund,Investment,investment,emergency fund,"emergency fund is usually classified as investment, but final label may change using amount/time/baseline context."
rent,Bills & Obligations,need,rent,"rent is usually classified as need, but final label may change using amount/time/baseline context."
electricity bill,Bills & Obligations,need,electricity bill,"electricity bill is usually classified as need, but final label may change using amount/time/baseline context."
water bill,Bills & Obligations,need,water bill,"water bill is usually classified as need, but final label may change using amount/time/baseline context."
gas bill,Bills & Obligations,need,gas bill,"gas bill is usually classified as need, but final label may change using amount/time/baseline context."
wifi bill,Bills & Obligations,need,wifi bill,"wifi bill is usually classified as need, but final label may change using amount/time/baseline context."
phone bill,Bills & Obligations,need,phone bill,"phone bill is usually classified as need, but final label may change using amount/time/baseline context."
EMI,Bills & Obligations,need,EMI,"EMI is usually classified as need, but final label may change using amount/time/baseline context."
loan repayment,Bills & Obligations,need,loan repayment,"loan repayment is usually classified as need, but final label may change using amount/time/baseline context."
office tools,Work,need,office tools,"office tools is usually classified as need, but final label may change using amount/time/baseline context."
client meeting,Work,need,client meeting,"client meeting is usually classified as need, but final label may change using amount/time/baseline context."
laptop repair,Work,need,laptop repair,"laptop repair is usually classified as need, but final label may change using amount/time/baseline context."
software subscription,Work,need,software subscription,"software subscription is usually classified as need, but final label may change using amount/time/baseline context."
business course,Work,investment,business course,"business course is usually classified as investment, but final label may change using amount/time/baseline context."
work equipment upgrade,Work,investment,work equipment upgrade,"work equipment upgrade is usually classified as investment, but final label may change using amount/time/baseline context."
professional license,Work,investment,professional license,"professional license is usually classified as investment, but final label may change using amount/time/baseline context."
high value dessert,Bills & Obligations,need,dessert,Synthetic category mapping for training/testing.
high value saving,Investment,investment,saving,Synthetic category mapping for training/testing.
premium index fund,Investment,want,index fund,Synthetic category mapping for training/testing.
premium dividend,Investment,want,dividend,Synthetic category mapping for training/testing.
low cost bus,Investment,need,bus,Synthetic category mapping for training/testing.
large treat,Health,want,treat,Synthetic category mapping for training/testing.
night water,Work,investment,water,Synthetic category mapping for training/testing.
personal grocery,Bills & Obligations,want,grocery,Synthetic category mapping for training/testing.
stable water,Work,want,water,Synthetic category mapping for training/testing.
office water,Investment,need,water,Synthetic category mapping for training/testing.
family fixed deposit,Shopping,need,fixed deposit,Synthetic category mapping for training/testing.
office dinner,Education,want,dinner,Synthetic category mapping for training/testing.
weekly stocks,Shopping,want,stocks,Synthetic category mapping for training/testing.
first time bond,Health,need,bond,Synthetic category mapping for training/testing.
night shopping,Food & Dining,want,shopping,Synthetic category mapping for training/testing.
monthly stocks,Health,investment,stocks,Synthetic category mapping for training/testing.
regular clothes,Education,investment,clothes,Synthetic category mapping for training/testing.
safe mutual fund,Food & Dining,want,mutual fund,Synthetic category mapping for training/testing.
medical gift,Shopping,investment,gift,Synthetic category mapping for training/testing.
large crypto,Investment,want,crypto,Synthetic category mapping for training/testing.
advance portfolio,Health,investment,portfolio,Synthetic category mapping for training/testing.
family gift,Bills & Obligations,investment,gift,Synthetic category mapping for training/testing.
delayed pension,Transport,need,pension,Synthetic category mapping for training/testing.
local stationery,Investment,want,stationery,Synthetic category mapping for training/testing.
subscription groceries,Transport,investment,groceries,Synthetic category mapping for training/testing.
personal fees,Shopping,investment,fees,Synthetic category mapping for training/testing.
emergency wealth,Food & Dining,investment,wealth,Synthetic category mapping for training/testing.
one time water,Work,investment,water,Synthetic category mapping for training/testing.
recurring pension,Education,need,pension,Synthetic category mapping for training/testing.
home fixed deposit,Food & Dining,investment,fixed deposit,Synthetic category mapping for training/testing.
small hospital,Bills & Obligations,investment,hospital,Synthetic category mapping for training/testing.
essential hospital,Work,need,hospital,Synthetic category mapping for training/testing.
subscription index fund,Entertainment,need,index fund,Synthetic category mapping for training/testing.
festival crypto,Education,investment,crypto,Synthetic category mapping for training/testing.
premium groceries,Investment,investment,groceries,Synthetic category mapping for training/testing.
work cosmetics,Food & Dining,want,cosmetics,Synthetic category mapping for training/testing.
festival rd,Investment,need,rd,Synthetic category mapping for training/testing.
small fees,Investment,want,fees,Synthetic category mapping for training/testing.
extra loan emi,Education,investment,loan emi,Synthetic category mapping for training/testing.
online party,Health,need,party,Synthetic category mapping for training/testing.
personal mall,Health,want,mall,Synthetic category mapping for training/testing.
work late night,Food & Dining,investment,late night,Synthetic category mapping for training/testing.
emergency rice,Food & Dining,investment,rice,Synthetic category mapping for training/testing.
family friends,Investment,need,friends,Synthetic category mapping for training/testing.
client club,Investment,want,club,Synthetic category mapping for training/testing.
discounted medical,Education,need,medical,Synthetic category mapping for training/testing.
low cost fd,Entertainment,want,fd,Synthetic category mapping for training/testing.
planned movie,Investment,need,movie,Synthetic category mapping for training/testing.
first time ppf,Transport,want,ppf,Synthetic category mapping for training/testing.
first time doctor,Education,want,doctor,Synthetic category mapping for training/testing.
one time movie,Entertainment,need,movie,Synthetic category mapping for training/testing.
large saving,Education,need,saving,Synthetic category mapping for training/testing.
subscription mall,Shopping,investment,mall,Synthetic category mapping for training/testing.
night silver,Education,investment,silver,Synthetic category mapping for training/testing.
personal nps,Health,want,nps,Synthetic category mapping for training/testing.
one time online shopping,Entertainment,investment,online shopping,Synthetic category mapping for training/testing.
advance rent,Bills & Obligations,need,rent,Synthetic category mapping for training/testing.
monthly loan emi,Shopping,investment,loan emi,Synthetic category mapping for training/testing.
stable movie,Food & Dining,want,movie,Synthetic category mapping for training/testing.
college trip,Shopping,investment,trip,Synthetic category mapping for training/testing.
extra fd,Entertainment,investment,fd,Synthetic category mapping for training/testing.
safe recurring deposit,Food & Dining,need,recurring deposit,Synthetic category mapping for training/testing.
local fees,Education,want,fees,Synthetic category mapping for training/testing.
essential saving,Education,need,saving,Synthetic category mapping for training/testing.
low cost retirement,Investment,need,retirement,Synthetic category mapping for training/testing.
cashback gaming,Transport,investment,gaming,Synthetic category mapping for training/testing.
festival burger,Bills & Obligations,want,burger,Synthetic category mapping for training/testing.
stable treat,Transport,need,treat,Synthetic category mapping for training/testing.
large dividend,Transport,need,dividend,Synthetic category mapping for training/testing.
monthly sip,Food & Dining,investment,sip,Synthetic category mapping for training/testing.
first time insurance,Food & Dining,investment,insurance,Synthetic category mapping for training/testing.
local stocks,Work,investment,stocks,Synthetic category mapping for training/testing.
regular capital,Work,need,capital,Synthetic category mapping for training/testing.
subscription deposit,Work,need,deposit,Synthetic category mapping for training/testing.
stable trip,Education,want,trip,Synthetic category mapping for training/testing.
monthly insurance,Transport,want,insurance,Synthetic category mapping for training/testing.
home dessert,Education,want,dessert,Synthetic category mapping for training/testing.
weekly books,Bills & Obligations,need,books,Synthetic category mapping for training/testing.
home shoes,Shopping,investment,shoes,Synthetic category mapping for training/testing.
office gold,Entertainment,need,gold,Synthetic category mapping for training/testing.
stable gold,Food & Dining,want,gold,Synthetic category mapping for training/testing.
local medical,Entertainment,need,medical,Synthetic category mapping for training/testing.
low cost savings,Education,want,savings,Synthetic category mapping for training/testing.
home ppf,Bills & Obligations,need,ppf,Synthetic category mapping for training/testing.
large bond,Health,need,bond,Synthetic category mapping for training/testing.
safe club,Education,need,club,Synthetic category mapping for training/testing.
home netflix,Entertainment,investment,netflix,Synthetic category mapping for training/testing.
recurring long term,Food & Dining,investment,long term,Synthetic category mapping for training/testing.
advance saving,Shopping,investment,saving,Synthetic category mapping for training/testing.
planned investment,Food & Dining,want,investment,Synthetic category mapping for training/testing.
essential mall,Transport,want,mall,Synthetic category mapping for training/testing.
advance fixed deposit,Education,investment,fixed deposit,Synthetic category mapping for training/testing.
urgent fixed deposit,Bills & Obligations,want,fixed deposit,Synthetic category mapping for training/testing.
first time netflix,Entertainment,need,netflix,Synthetic category mapping for training/testing.
monthly friends,Work,want,friends,Synthetic category mapping for training/testing.
online snacks,Investment,need,snacks,Synthetic category mapping for training/testing.
repeat books,Food & Dining,investment,books,Synthetic category mapping for training/testing.
personal medical,Education,need,medical,Synthetic category mapping for training/testing.
offline dal,Transport,want,dal,Synthetic category mapping for training/testing.
weekly cosmetics,Food & Dining,want,cosmetics,Synthetic category mapping for training/testing.
offline burger,Transport,want,burger,Synthetic category mapping for training/testing.
planned gaming,Bills & Obligations,need,gaming,Synthetic category mapping for training/testing.
regular pizza,Transport,investment,pizza,Synthetic category mapping for training/testing.
subscription wealth,Bills & Obligations,need,wealth,Synthetic category mapping for training/testing.
urgent rice,Education,need,rice,Synthetic category mapping for training/testing.
regular dividend,Investment,want,dividend,Synthetic category mapping for training/testing.
planned salon,Health,need,salon,Synthetic category mapping for training/testing.
repeat wealth,Shopping,investment,wealth,Synthetic category mapping for training/testing.
planned long term,Education,need,long term,Synthetic category mapping for training/testing.
client zomato,Work,need,zomato,Synthetic category mapping for training/testing.
first time pension,Investment,need,pension,Synthetic category mapping for training/testing.
delayed asset,Entertainment,investment,asset,Synthetic category mapping for training/testing.
advance vacation,Food & Dining,want,vacation,Synthetic category mapping for training/testing.
offline pension,Investment,investment,pension,Synthetic category mapping for training/testing.
weekly long term,Transport,investment,long term,Synthetic category mapping for training/testing.
risky snacks,Bills & Obligations,investment,snacks,Synthetic category mapping for training/testing.
monthly tuition,Entertainment,need,tuition,Synthetic category mapping for training/testing.
safe repair,Education,investment,repair,Synthetic category mapping for training/testing.
cashback fd,Health,investment,fd,Synthetic category mapping for training/testing.
delayed mutual fund,Transport,want,mutual fund,Synthetic category mapping for training/testing.
large burger,Bills & Obligations,need,burger,Synthetic category mapping for training/testing.
emergency gas,Food & Dining,need,gas,Synthetic category mapping for training/testing.
college capital,Investment,investment,capital,Synthetic category mapping for training/testing.
family nps,Shopping,investment,nps,Synthetic category mapping for training/testing.
stable dinner,Health,want,dinner,Synthetic category mapping for training/testing.
monthly dessert,Transport,want,dessert,Synthetic category mapping for training/testing.
family asset,Work,investment,asset,Synthetic category mapping for training/testing.
one time silver,Food & Dining,need,silver,Synthetic category mapping for training/testing.
home clothes,Food & Dining,want,clothes,Synthetic category mapping for training/testing.
regular medical,Entertainment,investment,medical,Synthetic category mapping for training/testing.
basic deposit,Transport,need,deposit,Synthetic category mapping for training/testing.
medical dividend,Bills & Obligations,investment,dividend,Synthetic category mapping for training/testing.
first time swiggy,Transport,investment,swiggy,Synthetic category mapping for training/testing.
advance tuition,Transport,need,tuition,Synthetic category mapping for training/testing.
monthly books,Food & Dining,want,books,Synthetic category mapping for training/testing.
advance stationery,Entertainment,investment,stationery,Synthetic category mapping for training/testing.
medical mutual fund,Entertainment,need,mutual fund,Synthetic category mapping for training/testing.
work date,Investment,need,date,Synthetic category mapping for training/testing.
regular medicine,Food & Dining,want,medicine,Synthetic category mapping for training/testing.
small saving,Transport,need,saving,Synthetic category mapping for training/testing.
home salon,Health,want,salon,Synthetic category mapping for training/testing.
home doctor,Transport,need,doctor,Synthetic category mapping for training/testing.
morning insurance,Entertainment,want,insurance,Synthetic category mapping for training/testing.
medical insurance,Shopping,investment,insurance,Synthetic category mapping for training/testing.
home insurance,Work,need,insurance,Synthetic category mapping for training/testing.
offline club,Food & Dining,need,club,Synthetic category mapping for training/testing.
client internet,Food & Dining,investment,internet,Synthetic category mapping for training/testing.
emergency pharmacy,Education,want,pharmacy,Synthetic category mapping for training/testing.
office dessert,Bills & Obligations,need,dessert,Synthetic category mapping for training/testing.
repeat pension,Health,investment,pension,Synthetic category mapping for training/testing.
large bus,Education,need,bus,Synthetic category mapping for training/testing.
client recurring deposit,Entertainment,need,recurring deposit,Synthetic category mapping for training/testing.
repeat etf,Transport,want,etf,Synthetic category mapping for training/testing.
risky retirement,Entertainment,need,retirement,Synthetic category mapping for training/testing.
family zomato,Entertainment,investment,zomato,Synthetic category mapping for training/testing.
essential milk,Transport,need,milk,Synthetic category mapping for training/testing.
basic school,Entertainment,investment,school,Synthetic category mapping for training/testing.
client fd,Education,need,fd,Synthetic category mapping for training/testing.
high value gold,Work,want,gold,Synthetic category mapping for training/testing.
office late night,Bills & Obligations,need,late night,Synthetic category mapping for training/testing.
premium mutual fund,Work,investment,mutual fund,Synthetic category mapping for training/testing.
local index fund,Bills & Obligations,want,index fund,Synthetic category mapping for training/testing.
home books,Food & Dining,need,books,Synthetic category mapping for training/testing.
night concert,Bills & Obligations,need,concert,Synthetic category mapping for training/testing.
safe trip,Shopping,want,trip,Synthetic category mapping for training/testing.
one time party,Health,want,party,Synthetic category mapping for training/testing.
extra school,Education,need,school,Synthetic category mapping for training/testing.
morning shoes,Bills & Obligations,investment,shoes,Synthetic category mapping for training/testing.
delayed fd,Food & Dining,want,fd,Synthetic category mapping for training/testing.
advance gift,Transport,want,gift,Synthetic category mapping for training/testing.
premium dessert,Investment,want,dessert,Synthetic category mapping for training/testing.
weekly trip,Transport,want,trip,Synthetic category mapping for training/testing.
cashback stationery,Health,want,stationery,Synthetic category mapping for training/testing.
online nps,Work,investment,nps,Synthetic category mapping for training/testing.
small college,Shopping,need,college,Synthetic category mapping for training/testing.
recurring grocery,Education,want,grocery,Synthetic category mapping for training/testing.
medical medical,Entertainment,want,medical,Synthetic category mapping for training/testing.
essential financial goal,Shopping,want,financial goal,Synthetic category mapping for training/testing.
emergency medicine,Work,want,medicine,Synthetic category mapping for training/testing.
local date,Shopping,want,date,Synthetic category mapping for training/testing.
low cost capital,Food & Dining,want,capital,Synthetic category mapping for training/testing.
morning stationery,Health,want,stationery,Synthetic category mapping for training/testing.
high value stationery,Entertainment,want,stationery,Synthetic category mapping for training/testing.
medical outing,Work,want,outing,Synthetic category mapping for training/testing.
repeat repair,Education,want,repair,Synthetic category mapping for training/testing.
subscription salon,Investment,need,salon,Synthetic category mapping for training/testing.
large dessert,Work,need,dessert,Synthetic category mapping for training/testing.
premium medicine,Health,want,medicine,Synthetic category mapping for training/testing.
first time books,Transport,want,books,Synthetic category mapping for training/testing.
recurring date,Investment,investment,date,Synthetic category mapping for training/testing.
weekly bond,Shopping,want,bond,Synthetic category mapping for training/testing.
medical train,Food & Dining,need,train,Synthetic category mapping for training/testing.
local pharmacy,Investment,want,pharmacy,Synthetic category mapping for training/testing.
home vacation,Education,investment,vacation,Synthetic category mapping for training/testing.
safe snacks,Bills & Obligations,need,snacks,Synthetic category mapping for training/testing.
online swiggy,Bills & Obligations,investment,swiggy,Synthetic category mapping for training/testing.
one time long term,Health,need,long term,Synthetic category mapping for training/testing.
stable dividend,Health,need,dividend,Synthetic category mapping for training/testing.
home family support,Bills & Obligations,need,family support,Synthetic category mapping for training/testing.
high value asset,Entertainment,want,asset,Synthetic category mapping for training/testing.
office rice,Education,want,rice,Synthetic category mapping for training/testing.
festival loan emi,Work,need,loan emi,Synthetic category mapping for training/testing.
small fuel,Investment,want,fuel,Synthetic category mapping for training/testing.
basic impulse buy,Health,investment,impulse buy,Synthetic category mapping for training/testing.
large pharmacy,Education,want,pharmacy,Synthetic category mapping for training/testing.
basic cosmetics,Entertainment,want,cosmetics,Synthetic category mapping for training/testing.
emergency emergency fund,Health,investment,emergency fund,Synthetic category mapping for training/testing.
advance financial goal,Entertainment,investment,financial goal,Synthetic category mapping for training/testing.
family rent,Shopping,need,rent,Synthetic category mapping for training/testing.
stable date,Bills & Obligations,need,date,Synthetic category mapping for training/testing.
safe outing,Bills & Obligations,want,outing,Synthetic category mapping for training/testing.
extra fees,Food & Dining,investment,fees,Synthetic category mapping for training/testing.
emergency interest,Bills & Obligations,want,interest,Synthetic category mapping for training/testing.
work asset,Bills & Obligations,want,asset,Synthetic category mapping for training/testing.
urgent interest,Education,want,interest,Synthetic category mapping for training/testing.
recurring netflix,Entertainment,need,netflix,Synthetic category mapping for training/testing.
night dal,Shopping,investment,dal,Synthetic category mapping for training/testing.
small ppf,Bills & Obligations,want,ppf,Synthetic category mapping for training/testing.
low cost tuition,Transport,need,tuition,Synthetic category mapping for training/testing.
personal gift,Transport,want,gift,Synthetic category mapping for training/testing.
urgent silver,Shopping,need,silver,Synthetic category mapping for training/testing.
advance vegetables,Bills & Obligations,need,vegetables,Synthetic category mapping for training/testing.
home date,Investment,want,date,Synthetic category mapping for training/testing.
cashback medicine,Investment,need,medicine,Synthetic category mapping for training/testing.
festival internet,Education,investment,internet,Synthetic category mapping for training/testing.
regular outing,Bills & Obligations,want,outing,Synthetic category mapping for training/testing.
discounted asset,Education,investment,asset,Synthetic category mapping for training/testing.
essential sip,Bills & Obligations,need,sip,Synthetic category mapping for training/testing.
stable hospital,Health,need,hospital,Synthetic category mapping for training/testing.
small zomato,Education,need,zomato,Synthetic category mapping for training/testing.
personal concert,Work,investment,concert,Synthetic category mapping for training/testing.
essential medicine,Education,investment,medicine,Synthetic category mapping for training/testing.
work shoes,Health,want,shoes,Synthetic category mapping for training/testing.
planned interest,Entertainment,want,interest,Synthetic category mapping for training/testing.
offline asset,Work,investment,asset,Synthetic category mapping for training/testing.
subscription dinner,Investment,investment,dinner,Synthetic category mapping for training/testing.
planned rent,Food & Dining,investment,rent,Synthetic category mapping for training/testing.
office burger,Investment,need,burger,Synthetic category mapping for training/testing.
weekly fees,Entertainment,need,fees,Synthetic category mapping for training/testing.
medical medicine,Investment,need,medicine,Synthetic category mapping for training/testing.
regular deposit,Entertainment,investment,deposit,Synthetic category mapping for training/testing.
personal deposit,Entertainment,need,deposit,Synthetic category mapping for training/testing.
low cost impulse buy,Health,need,impulse buy,Synthetic category mapping for training/testing.
one time late night,Education,want,late night,Synthetic category mapping for training/testing.
recurring pharmacy,Entertainment,investment,pharmacy,Synthetic category mapping for training/testing.
morning water,Investment,want,water,Synthetic category mapping for training/testing.
festival shoes,Entertainment,need,shoes,Synthetic category mapping for training/testing.
festival date,Health,need,date,Synthetic category mapping for training/testing.
advance uniform,Food & Dining,want,uniform,Synthetic category mapping for training/testing.
essential asset,Entertainment,need,asset,Synthetic category mapping for training/testing.
premium etf,Investment,want,etf,Synthetic category mapping for training/testing.
stable college,Health,want,college,Synthetic category mapping for training/testing.
client interest,Transport,investment,interest,Synthetic category mapping for training/testing.
festival insurance,Health,want,insurance,Synthetic category mapping for training/testing.
weekly snacks,Bills & Obligations,need,snacks,Synthetic category mapping for training/testing.
morning fd,Bills & Obligations,want,fd,Synthetic category mapping for training/testing.
morning medicine,Work,investment,medicine,Synthetic category mapping for training/testing.
emergency water,Food & Dining,investment,water,Synthetic category mapping for training/testing.
discounted online shopping,Entertainment,investment,online shopping,Synthetic category mapping for training/testing.
office internet,Education,need,internet,Synthetic category mapping for training/testing.
family medical,Bills & Obligations,want,medical,Synthetic category mapping for training/testing.
urgent investment,Investment,need,investment,Synthetic category mapping for training/testing.
subscription etf,Entertainment,investment,etf,Synthetic category mapping for training/testing.
festival netflix,Transport,need,netflix,Synthetic category mapping for training/testing.
extra impulse buy,Food & Dining,investment,impulse buy,Synthetic category mapping for training/testing.
medical snacks,Food & Dining,need,snacks,Synthetic category mapping for training/testing.
planned nps,Entertainment,need,nps,Synthetic category mapping for training/testing.
morning interest,Entertainment,investment,interest,Synthetic category mapping for training/testing.
regular rent,Bills & Obligations,investment,rent,Synthetic category mapping for training/testing.
planned repair,Bills & Obligations,need,repair,Synthetic category mapping for training/testing.
online gas,Health,need,gas,Synthetic category mapping for training/testing.
night ppf,Health,investment,ppf,Synthetic category mapping for training/testing.
repeat school,Entertainment,investment,school,Synthetic category mapping for training/testing.
home loan emi,Bills & Obligations,want,loan emi,Synthetic category mapping for training/testing.
stable insurance,Entertainment,want,insurance,Synthetic category mapping for training/testing.
safe shopping,Entertainment,want,shopping,Synthetic category mapping for training/testing.
essential medical,Bills & Obligations,investment,medical,Synthetic category mapping for training/testing.
local coffee,Bills & Obligations,need,coffee,Synthetic category mapping for training/testing.
subscription sip,Investment,need,sip,Synthetic category mapping for training/testing.
repeat retirement,Investment,investment,retirement,Synthetic category mapping for training/testing.
client hospital,Health,want,hospital,Synthetic category mapping for training/testing.
stable swiggy,Investment,need,swiggy,Synthetic category mapping for training/testing.
work ppf,Work,need,ppf,Synthetic category mapping for training/testing.
emergency outing,Shopping,want,outing,Synthetic category mapping for training/testing.
one time trip,Bills & Obligations,want,trip,Synthetic category mapping for training/testing.
large snacks,Bills & Obligations,need,snacks,Synthetic category mapping for training/testing.
home train,Bills & Obligations,need,train,Synthetic category mapping for training/testing.
office silver,Food & Dining,need,silver,Synthetic category mapping for training/testing.
local impulse buy,Bills & Obligations,want,impulse buy,Synthetic category mapping for training/testing.
emergency stocks,Transport,want,stocks,Synthetic category mapping for training/testing.
small grocery,Education,want,grocery,Synthetic category mapping for training/testing.
home fuel,Investment,investment,fuel,Synthetic category mapping for training/testing.
low cost clothes,Investment,want,clothes,Synthetic category mapping for training/testing.
office dividend,Bills & Obligations,investment,dividend,Synthetic category mapping for training/testing.
repeat vacation,Food & Dining,investment,vacation,Synthetic category mapping for training/testing.
