original_text,original_category,original_type,original_ambiguity,action,new_category,new_type,new_ambiguity,reason
CARD PAYMENT HP GAS,Bills,Need,ambiguous,ambiguity_corrected,Bills,Need,clear,ambiguity_to_clear
put money into Paytm Money for a monthly SIP,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI/ANIGHTCLUB/PAYMENT/REF6675,Party,Want,ambiguous,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
went for Flipkart as a birthday gift for myself,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
treated myself to Rapido to a concert across town,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
"could have skipped FASTag, but chose to spend on it, to attend a friend's party",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
"didn't really need Netmeds, but went ahead anyway, out of general curiosity",Health,Want,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
POS NATURE'S BASKET PAYMENT,Groceries,Need,ambiguous,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI/SPENCERS/PAYMENT/REF7825,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
set aside savings via Upstox for a gold bond purchase,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
POS VISTARA ONLINE,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Great Learning required to pass the course,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
Subway for a movie night at home,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI/FRIEND/SPLITBILL/REF9911,Misc,Need,ambiguous,ambiguity_corrected,Misc,Need,clear,ambiguity_to_clear
UPI-ZEE5-ZEE5@ICICI,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
CARD PAYMENT JIOMART,Groceries,Want,ambiguous,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI-MEDPLUS-796494@upi,Health,Want,ambiguous,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI-CROMA-STORE@SBI,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
Fortis Hospital for an emergency hospital visit,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
UPI-UPGRAD-UPGRAD@HDFC,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
Star Bazaar to try some gourmet imported items,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
Ajio required urgently for daily use,Shopping,Need,context_dependent,ambiguity_corrected,Shopping,Need,clear,ambiguity_to_clear
paid school fees for the new academic year,Education,Need,clear,relabelled,Education,Investment,clear,relabelled_type_to_investment
BOX8 TXN POS PURCHASE,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI/UNACADEMY/PAYMENT/REF3545,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
UPI-FASTAG-FASTAG@ICICI,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
IRCTC train ticket booked for a family wedding trip,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Cult.fit premium gym membership,Health,Want,context_dependent,ambiguity_corrected,Health,Want,clear,ambiguity_to_clear
UPI/GOIBIBO/PAYMENT/REF6442,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
took a cab home instead of waiting for the last bus,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Zerodha for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
used More Supermarket for basic household supplies,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI-BIGBASKET-987731@upi,Groceries,Need,ambiguous,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
IRCTC TXN POS PURCHASE,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
MakeMyTrip flight for an urgent family emergency,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI-STARBAZAAR-STARBAZAAR@PAYTM,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
CARD PAYMENT RAPIDO,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
"could have skipped Ola, but chose to spend on it, for a weekend getaway",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-MAXHEALTHCAR-MAXHEALTHCAR@ICICI,Health,Want,ambiguous,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
treated myself to a lounge bar during a bachelor party night out,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
paid for PVR to catch a live concert on a whim,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
Delhi Metro for a mandatory office trip,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
"didn't really need McDonald's, but went ahead anyway, with friends for a celebration",Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
contributed to Groww for a monthly SIP,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-ZERODHA-867183@upi,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-AMAZONPRIMEV-763897@upi,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
had to pay for MedPlus after a doctor's referral,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
UPI/ZEPTO/PAYMENT/REF2311,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
BYJU'S as a personal hobby class,Education,Want,context_dependent,ambiguity_corrected,Education,Want,clear,ambiguity_to_clear
POS MYNTRA ONLINE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
ate out at a fancy restaurant purely for the experience,Food,Want,clear,ambiguity_corrected,Food,Want,context_dependent,ambiguity_to_context_dependent
POS SNAPDEAL ONLINE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
POS RELIANCE DIGITAL PAYMENT,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
UPI-AROOFTOPBAR-AROOFTOPBAR@AXIS,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
VIJAY SALES TXN POS PURCHASE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
splurged on Practo for a fitness experiment,Health,Want,context_dependent,ambiguity_corrected,Health,Want,clear,ambiguity_to_clear
POS MEESHO ONLINE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
digital payment,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
JioCinema for a weekend movie outing with friends,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
"didn't really need Tata 1mg, but went ahead anyway, for a fitness experiment",Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
EatSure for a Sunday brunch tradition,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI-BLUSMART-BLUSMART@PAYTM,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
booked Myntra for a work-from-home setup,Shopping,Need,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
UPI-NETMEDS-NETMEDS@ICICI,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
CARD PAYMENT SONY LIV,Entertainment,Want,ambiguous,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
went for Lenskart to try out a new trend,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
POS CAFE COFFEE DAY MUMBAI,Food,Want,ambiguous,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
POS TRAVEL BOOKING,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
had to pay for DMart to restock the kitchen essentials,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI-OLA-OLA@YBL,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-VISTARA-VISTARA@PAYTM,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
ATM cash withdrawal,Misc,Need,ambiguous,ambiguity_corrected,Misc,Need,clear,ambiguity_to_clear
Zomato meal ordered during a late hospital visit,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
UPI/ETMONEY/PAYMENT/REF7581,Misc,Investment,context_dependent,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi etmoney payment ref"""
A BREWERY TXN POS PURCHASE,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
UPI-STARBAZAAR-STARBAZAAR@HDFC,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
"the expense on Cult.fit was unavoidable, to get a diagnostic test done",Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
UPI-INDIGO-INDIGO@YBL,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
CARD PAYMENT MSEDCL,Bills,Need,ambiguous,ambiguity_corrected,Bills,Need,clear,ambiguity_to_clear
Coin by Zerodha for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
Zee5 to catch a live concert,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
Swiggy because there was no time to cook,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
ICICI Direct for a monthly SIP,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-CROMA-CROMA@SBI,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
CARD PAYMENT CULT FIT,Health,Want,context_dependent,ambiguity_corrected,Health,Want,clear,ambiguity_to_clear
UPI/RAPIDO/BIKE RIDE/REF3341,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
CARD PAYMENT ZERODHA,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-TATACLIQ-TATACLIQ@HDFC,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Ola cab for office commute,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
"didn't really need Cult.fit, but went ahead anyway, to try a trending supplement",Health,Want,context_dependent,ambiguity_corrected,Health,Want,clear,ambiguity_to_clear
a brewery during a bachelor party night out,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
had to pay for Great Learning required to pass the course,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
ordered food for a small get together at home,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
Meesho to try out a new trend,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
HOTSTAR TXN POS PURCHASE,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
used DMart for daily cooking needs,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
TATA CLIQ TXN POS PURCHASE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
POS BLUSMART PAYMENT,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
put money into Groww for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
contributed to ICICI Direct for a fixed deposit renewal,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-AMAZON-766020@upi,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
POS SUBSCRIPTION CHARGE,Entertainment,Want,ambiguous,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
ICICI Direct for a stock market trade,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
POS INDIGO PAYMENT,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
IndiGo for a solo backpacking trip,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
ordered food online again even though groceries were at home,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
POS NATURES BASKET GOURMET,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
POS UPI TRANSFER,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
UPI-STARBAZAAR-902558@upi,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
booked Subway during a family emergency at home,Food,Need,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
CARD PAYMENT MUMBAI METRO,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
JioMart imported cheese and gourmet snacks,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
"didn't really need Amazon, but went ahead anyway, as a birthday gift for myself",Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Croma for a work-from-home setup,Shopping,Need,context_dependent,ambiguity_corrected,Shopping,Need,clear,ambiguity_to_clear
paid for upGrad compulsory for the degree program,Education,Need,context_dependent,ambiguity_corrected,Education,Need,clear,ambiguity_to_clear
booked KFC between back to back lectures,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
splurged on Zee5 for binge watching over the weekend,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
paid for Amazon as a birthday gift for myself on a whim,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Fortis Hospital for a skincare experiment,Health,Want,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
"spent on MedPlus more for enjoyment than necessity, for a skincare experiment",Health,Want,context_dependent,relabelled,Health,Need,context_dependent,relabelled_type_to_need
treated myself to Unacademy as a personal hobby class,Education,Want,context_dependent,ambiguity_corrected,Education,Want,clear,ambiguity_to_clear
indulged in Meru Cabs for a solo backpacking trip,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-CASHBACKAPP-REWARDS,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
Spencer's to try some gourmet imported items,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
Coin by Zerodha for a fixed deposit renewal,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-ICICIDIRECT-786506@upi,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
CARD PAYMENT MEESHO,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
UPI/SUBWAY/PAYMENT/REF7267,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
a nightclub for a friend's birthday celebration,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
PharmEasy to get a diagnostic test done,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
UPI-MYNTRA-989058@upi,Shopping,Need,ambiguous,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
treated myself to a lounge bar for a New Year's party,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
food order,Food,Want,ambiguous,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
"could have skipped Goibibo, but chose to spend on it, to visit relatives during the holidays",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
FASTag to get to a work meeting,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
MAX HEALTHCARE TXN POS PURCHASE,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
"the expense on Uber was unavoidable, for a mandatory office trip",Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
POS NETMEDS ONLINE,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI-COURSERA-774538@upi,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
Zepto to try some gourmet imported items,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
UPI/FLIPKART/PAYMENT/REF1710,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
UPI-AJIO-781123@upi,Shopping,Need,ambiguous,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
"could have skipped IRCTC, but chose to spend on it, for a leisure vacation",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-SERVICEPAYMENT-REF9303,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
"the expense on Flipkart was unavoidable, for essential office supplies",Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
POS MERCHANT PAYMENT,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
"decided to grow long term savings through upGrad, to switch to a new career track",Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI-ALOCALPUB-ALOCALPUB@ICICI,Party,Want,ambiguous,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
Uber ride to college,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
POS PRACTO PAYMENT,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
Tata Cliq required urgently for daily use,Shopping,Need,context_dependent,ambiguity_corrected,Shopping,Need,clear,ambiguity_to_clear
POS COLLEGE FEE PAYMENT,Education,Need,clear,relabelled,Education,Investment,clear,relabelled_type_to_investment
POS GOIBIBO ONLINE,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
DMart for daily cooking needs,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI-SPICEJET-756834@upi,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
booked Jio for the mobile recharge plan,Bills,Need,clear,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
"the expense on Goibibo was unavoidable, for a mandatory office trip",Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
POS SONY LIV ONLINE,Entertainment,Want,ambiguous,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
BLINKIT TXN POS PURCHASE,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
POS PAYTM WALLET LOAD,Misc,Need,ambiguous,ambiguity_corrected,Misc,Need,clear,ambiguity_to_clear
POS YATRA PAYMENT,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI/DOMINOS/PIZZA ORDER/REF2291,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI-ALOUNGEBAR-ALOUNGEBAR@PAYTM,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
ration,Groceries,Need,clear,ambiguity_corrected,Groceries,Need,ambiguous,ambiguity_to_ambiguous
"the expense on Swiggy was unavoidable, because there was no time to cook",Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
went for Star Bazaar to try some gourmet imported items,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
"set money aside for the future via Upstox, for a corporate bond purchase",Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-PHARMEASY-867197@upi,Health,Need,ambiguous,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
UPI-CHAIWALA-9821XXXXXX,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
DELHI METRO TXN POS PURCHASE,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
"set money aside for the future via ET Money, for a recurring deposit",Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
FASTag expense to get to a work meeting,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
Cult.fit expense for an emergency hospital visit,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
A LOCAL PUB TXN POS PURCHASE,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
had to pay for Meru Cabs for a mandatory office trip,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
CARD PAYMENT MAKEMYTRIP,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
took a flight for a spontaneous holiday with friends,Travel,Want,clear,ambiguity_corrected,Travel,Want,context_dependent,ambiguity_to_context_dependent
