text,category,type,input_style,ambiguity
had no choice but to pay for BluSmart since it was to get to a work meeting,Travel,Need,semantic,context_dependent
"booked a rooftop bar for a New Year's party, just for fun",Party,Want,natural_language,context_dependent
POS NATURE'S BASKET PAYMENT,Groceries,Need,bank_statement,clear
shopping,Shopping,Want,short_keyword,ambiguous
UPI/SPENCERS/PAYMENT/REF7825,Groceries,Need,upi,clear
UPI/BSES/PAYMENT/REF2406,Bills,Need,upi,clear
set aside savings via Upstox for a gold bond purchase,Misc,Investment,natural_language,clear
had no choice but to pay for Croma since it was for a work-from-home setup,Shopping,Need,semantic,context_dependent
POS VISTARA ONLINE,Travel,Want,bank_statement,clear
Great Learning required to pass the course,Education,Investment,merchant,clear
Subway for a movie night at home,Food,Want,merchant,clear
had no choice but to pay for Mumbai Metro since it was to reach college on time,Travel,Need,semantic,context_dependent
UPI/FRIEND/SPLITBILL/REF9911,Misc,Need,upi,clear
UPI-ZEE5-ZEE5@ICICI,Entertainment,Want,upi,clear
CARD PAYMENT JIOMART,Groceries,Need,bank_statement,clear
Star Bazaar for an elaborate weekend cooking project,Groceries,Want,merchant,context_dependent
"booked INOX for binge watching over the weekend, just for fun",Entertainment,Want,natural_language,context_dependent
UPI-MEDPLUS-796494@upi,Health,Need,upi,clear
UPI-CROMA-STORE@SBI,Shopping,Want,upi,clear
Fortis Hospital for an emergency hospital visit,Health,Need,merchant,clear
"paid for FASTag purely out of necessity, to reach the exam center",Travel,Need,semantic,context_dependent
Nykaa because everyone else already had it,Shopping,Want,merchant,context_dependent
UPI-TATASKY-810036@upi,Bills,Need,upi,clear
UPI-UPGRAD-UPGRAD@HDFC,Education,Investment,upi,clear
Star Bazaar to try some gourmet imported items,Groceries,Want,merchant,clear
"spent on Spotify more for enjoyment than necessity, for the monthly subscription renewal",Entertainment,Want,semantic,context_dependent
Ajio required urgently for daily use,Shopping,Need,merchant,clear
paid school fees for the new academic year,Education,Investment,natural_language,clear
BOX8 TXN POS PURCHASE,Food,Want,bank_statement,clear
UPI/UNACADEMY/PAYMENT/REF3545,Education,Investment,upi,clear
"the expense on Haldiram's was unavoidable, while working late at the office",Food,Need,semantic,context_dependent
UPI-FASTAG-FASTAG@ICICI,Travel,Want,upi,clear
IRCTC train ticket booked for a family wedding trip,Travel,Want,merchant,clear
bought new spectacles as the old prescription was outdated,Shopping,Need,semantic,context_dependent
Cult.fit premium gym membership,Health,Want,merchant,clear
UPI/GOIBIBO/PAYMENT/REF6442,Travel,Need,upi,clear
took a cab home instead of waiting for the last bus,Travel,Want,natural_language,clear
Zerodha for a recurring deposit,Misc,Investment,merchant,clear
used More Supermarket for basic household supplies,Groceries,Need,natural_language,clear
UPI-BIGBASKET-987731@upi,Groceries,Need,upi,clear
IRCTC TXN POS PURCHASE,Travel,Want,bank_statement,clear
PharmEasy monthly medicine order,Health,Need,merchant,clear
MakeMyTrip flight for an urgent family emergency,Travel,Need,merchant,clear
UPI-GROWW-INVESTMENT,Misc,Investment,upi,clear
UPI-STARBAZAAR-STARBAZAAR@PAYTM,Groceries,Need,upi,clear
UPI/SPOTIFY/SUBSCRIPTION/REF6621,Entertainment,Want,upi,clear
Amazon because the old one stopped working,Shopping,Need,merchant,context_dependent
CARD PAYMENT RAPIDO,Travel,Want,bank_statement,clear
POS purchase,Misc,Want,short_keyword,ambiguous
"could have skipped Ola, but chose to spend on it, for a weekend getaway",Travel,Want,semantic,clear
UPI-MAXHEALTHCAR-MAXHEALTHCAR@ICICI,Health,Need,upi,clear
"paid for Behrouz Biryani purely out of necessity, while working late at the office",Food,Need,semantic,context_dependent
treated myself to a lounge bar during a bachelor party night out,Party,Want,natural_language,clear
bought a required lab manual for the semester,Education,Need,natural_language,clear
online payment,Misc,Want,short_keyword,ambiguous
paid for PVR to catch a live concert on a whim,Entertainment,Want,natural_language,clear
McDonald's while studying for an exam late at night,Food,Need,merchant,context_dependent
put money into LinkedIn Learning to boost my career prospects,Education,Investment,natural_language,context_dependent
Delhi Metro for a mandatory office trip,Travel,Need,merchant,clear
"didn't really need McDonald's, but went ahead anyway, with friends for a celebration",Food,Want,semantic,clear
contributed to Groww for a monthly SIP,Misc,Investment,natural_language,clear
UPI-ZERODHA-867183@upi,Misc,Investment,upi,clear
UPI-AMAZONPRIMEV-763897@upi,Entertainment,Want,upi,clear
had to pay for MedPlus after a doctor's referral,Health,Need,natural_language,clear
society maintenance charges for the month,Bills,Need,natural_language,clear
UPI/ZEPTO/PAYMENT/REF2311,Groceries,Need,upi,clear
BYJU'S as a personal hobby class,Education,Want,merchant,clear
POS MYNTRA ONLINE,Shopping,Want,bank_statement,clear
ate out at a fancy restaurant purely for the experience,Food,Want,semantic,context_dependent
POS SNAPDEAL ONLINE,Shopping,Want,bank_statement,clear
POS RELIANCE DIGITAL PAYMENT,Shopping,Want,bank_statement,clear
UPI-AROOFTOPBAR-AROOFTOPBAR@AXIS,Party,Want,upi,clear
VIJAY SALES TXN POS PURCHASE,Shopping,Want,bank_statement,clear
movie,Entertainment,Want,short_keyword,ambiguous
splurged on Practo for a fitness experiment,Health,Want,natural_language,clear
POS MEESHO ONLINE,Shopping,Want,bank_statement,clear
digital payment,Misc,Want,natural_language,clear
JioCinema for a weekend movie outing with friends,Entertainment,Want,merchant,clear
"spent on EatSure more for enjoyment than necessity, for a Sunday brunch tradition",Food,Want,semantic,context_dependent
"didn't really need Tata 1mg, but went ahead anyway, for a fitness experiment",Health,Need,semantic,clear
EatSure for a Sunday brunch tradition,Food,Want,merchant,clear
UPI-BLUSMART-BLUSMART@PAYTM,Travel,Need,upi,clear
UPI-NETMEDS-NETMEDS@ICICI,Health,Need,upi,clear
CARD PAYMENT SONY LIV,Entertainment,Want,bank_statement,clear
paid toll charges while commuting to work every day,Travel,Need,semantic,clear
went for Lenskart to try out a new trend,Shopping,Want,natural_language,clear
treated myself to JioCinema for a birthday movie marathon,Entertainment,Want,natural_language,context_dependent
POS CAFE COFFEE DAY MUMBAI,Food,Want,bank_statement,clear
Tata Sky for the DTH subscription recharge,Bills,Need,merchant,clear
POS TRAVEL BOOKING,Travel,Want,bank_statement,clear
stock investment,Misc,Investment,natural_language,clear
had to pay for DMart to restock the kitchen essentials,Groceries,Need,natural_language,clear
"paid for Ola purely out of necessity, to get to a work meeting",Travel,Need,semantic,context_dependent
used EatSure during a family emergency at home,Food,Need,natural_language,context_dependent
UPI-OLA-OLA@YBL,Travel,Want,upi,clear
paid for KFC during a family emergency at home,Food,Need,natural_language,context_dependent
Upstox stock trade,Misc,Investment,merchant,clear
had no choice but to pay for PharmEasy since it was after a doctor's referral,Health,Need,semantic,context_dependent
"paid for Yatra purely out of necessity, for a mandatory office trip",Travel,Need,semantic,context_dependent
gold ETF purchase for long term saving,Misc,Investment,semantic,clear
UPI-VISTARA-VISTARA@PAYTM,Travel,Want,upi,clear
"could have skipped upGrad, but chose to spend on it, purely for personal enrichment",Education,Want,semantic,context_dependent
ATM cash withdrawal,Misc,Need,bank_statement,clear
Zomato meal ordered during a late hospital visit,Food,Need,merchant,clear
treated myself to Netflix to unwind after a long week,Entertainment,Want,natural_language,context_dependent
A BREWERY TXN POS PURCHASE,Party,Want,bank_statement,clear
bought a monthly local train pass for office,Travel,Need,natural_language,clear
UPI-STARBAZAAR-STARBAZAAR@HDFC,Groceries,Need,upi,clear
"the expense on Cult.fit was unavoidable, to get a diagnostic test done",Health,Need,semantic,clear
UPI-INDIGO-INDIGO@YBL,Travel,Need,upi,clear
CARD PAYMENT MSEDCL,Bills,Need,bank_statement,clear
Coin by Zerodha for a recurring deposit,Misc,Investment,merchant,clear
Zee5 to catch a live concert,Entertainment,Want,merchant,clear
had no choice but to pay for Tata 1mg since it was for an emergency hospital visit,Health,Need,semantic,context_dependent
Swiggy because there was no time to cook,Food,Need,merchant,clear
bought alcohol for a house party,Party,Want,natural_language,clear
ICICI Direct for a monthly SIP,Misc,Investment,merchant,clear
UPI-CROMA-CROMA@SBI,Shopping,Want,upi,clear
UPI/RENT/LANDLORD/REF1123,Bills,Need,upi,clear
CARD PAYMENT CULT FIT,Health,Want,bank_statement,clear
UPI/RAPIDO/BIKE RIDE/REF3341,Travel,Need,upi,clear
CARD PAYMENT ZERODHA,Misc,Investment,bank_statement,clear
UPI-TATACLIQ-TATACLIQ@HDFC,Shopping,Want,upi,clear
booked tickets to a music festival months in advance,Entertainment,Want,semantic,clear
"paid for Uber purely out of necessity, for a job interview across town",Travel,Need,semantic,context_dependent
spent on Burger King during a busy workday,Food,Need,natural_language,context_dependent
UPI-MSEDCL-BILLPAY@SBI,Bills,Need,upi,clear
Ola cab for office commute,Travel,Need,merchant,clear
"didn't really need Cult.fit, but went ahead anyway, to try a trending supplement",Health,Want,semantic,clear
a brewery during a bachelor party night out,Party,Want,merchant,clear
had to pay for Great Learning required to pass the course,Education,Investment,natural_language,clear
ordered food for a small get together at home,Food,Want,natural_language,clear
UPI-BSES-BSES@YBL,Bills,Need,upi,clear
POS TATA 1MG DIAGNOSTICS,Health,Need,bank_statement,clear
Meesho to try out a new trend,Shopping,Want,merchant,clear
HOTSTAR TXN POS PURCHASE,Entertainment,Want,bank_statement,clear
used DMart for daily cooking needs,Groceries,Need,natural_language,clear
TATA CLIQ TXN POS PURCHASE,Shopping,Want,bank_statement,clear
POS BLUSMART PAYMENT,Travel,Want,bank_statement,clear
put money into Groww for a recurring deposit,Misc,Investment,natural_language,clear
contributed to ICICI Direct for a fixed deposit renewal,Misc,Investment,natural_language,clear
FASTag to rush to the hospital,Travel,Need,merchant,context_dependent
UPI-AMAZON-766020@upi,Shopping,Want,upi,clear
POS SUBSCRIPTION CHARGE,Entertainment,Want,bank_statement,clear
ICICI Direct for a stock market trade,Misc,Investment,merchant,clear
POS INDIGO PAYMENT,Travel,Want,bank_statement,clear
IndiGo for a solo backpacking trip,Travel,Want,merchant,clear
weekend flight for vacation,Travel,Want,natural_language,clear
ordered food online again even though groceries were at home,Food,Want,semantic,clear
POS NATURES BASKET GOURMET,Groceries,Want,bank_statement,clear
"didn't really need Subway, but went ahead anyway, for a weekend treat",Food,Want,semantic,context_dependent
EMI,Bills,Need,short_keyword,ambiguous
POS UPI TRANSFER,Misc,Want,bank_statement,clear
ordered dinner because I got home too late to cook,Food,Need,semantic,clear
UPI-STARBAZAAR-902558@upi,Groceries,Need,upi,clear
POS VODAFONE IDEA PAYMENT,Bills,Need,bank_statement,clear
"paid for Haldiram's purely out of necessity, during a family emergency at home",Food,Need,semantic,context_dependent
"booked Unacademy purely for personal enrichment, just for fun",Education,Want,natural_language,context_dependent
"paid for Burger King purely out of necessity, during a busy workday",Food,Need,semantic,context_dependent
"spent on BluSmart more for enjoyment than necessity, to explore a new city",Travel,Want,semantic,context_dependent
PPF deposit,Misc,Investment,natural_language,clear
CARD PAYMENT MUMBAI METRO,Travel,Need,bank_statement,clear
JioMart imported cheese and gourmet snacks,Groceries,Want,merchant,clear
"didn't really need Amazon, but went ahead anyway, as a birthday gift for myself",Shopping,Want,semantic,clear
Croma for a work-from-home setup,Shopping,Need,merchant,clear
paid for upGrad compulsory for the degree program,Education,Need,natural_language,clear
booked KFC between back to back lectures,Food,Need,natural_language,clear
electricity bill,Bills,Need,short_keyword,clear
splurged on Zee5 for binge watching over the weekend,Entertainment,Want,natural_language,clear
Adani Electricity bill payment,Bills,Need,merchant,clear
paid for Amazon as a birthday gift for myself on a whim,Shopping,Want,natural_language,clear
"spent on MedPlus more for enjoyment than necessity, for a skincare experiment",Health,Need,semantic,context_dependent
UPI/BLINKIT/GROCERY/REF7712,Groceries,Need,upi,clear
treated myself to Unacademy as a personal hobby class,Education,Want,natural_language,clear
indulged in Meru Cabs for a solo backpacking trip,Travel,Want,natural_language,clear
UPI-CASHBACKAPP-REWARDS,Misc,Want,upi,clear
Spencer's to try some gourmet imported items,Groceries,Want,merchant,clear
UPI-VODAFONEIDEA-VODAFONEIDEA@PAYTM,Bills,Need,upi,clear
Coin by Zerodha for a fixed deposit renewal,Misc,Investment,merchant,clear
UPI-ICICIDIRECT-786506@upi,Misc,Investment,upi,clear
VODAFONE IDEA TXN POS PURCHASE,Bills,Need,bank_statement,clear
CARD PAYMENT MEESHO,Shopping,Want,bank_statement,clear
booked MakeMyTrip to rush to the hospital,Travel,Need,natural_language,context_dependent
UPI/SUBWAY/PAYMENT/REF7267,Food,Want,upi,clear
bought a designer bag just because I liked it,Shopping,Want,natural_language,clear
a nightclub for a friend's birthday celebration,Party,Want,merchant,clear
PharmEasy to get a diagnostic test done,Health,Need,merchant,clear
UPI-MYNTRA-989058@upi,Shopping,Want,upi,clear
treated myself to a lounge bar for a New Year's party,Party,Want,natural_language,clear
"paid for Reliance Digital purely out of necessity, required urgently for daily use",Shopping,Need,semantic,context_dependent
food order,Food,Want,natural_language,clear
"could have skipped Goibibo, but chose to spend on it, to visit relatives during the holidays",Travel,Want,semantic,clear
FASTag to get to a work meeting,Travel,Need,merchant,clear
MAX HEALTHCARE TXN POS PURCHASE,Health,Need,bank_statement,clear
"the expense on Uber was unavoidable, for a mandatory office trip",Travel,Need,semantic,clear
POS NETMEDS ONLINE,Health,Need,bank_statement,clear
POS HP GAS PAYMENT,Bills,Need,bank_statement,clear
brunch,Food,Want,short_keyword,ambiguous
UPI-COURSERA-774538@upi,Education,Investment,upi,clear
cab fare,Travel,Want,short_keyword,ambiguous
Ola outstation trip for a weekend getaway,Travel,Want,merchant,clear
Zepto to try some gourmet imported items,Groceries,Want,merchant,clear
UPI/FLIPKART/PAYMENT/REF1710,Shopping,Want,upi,clear
flew business class for a personal vacation,Travel,Want,natural_language,clear
UPI-AJIO-781123@upi,Shopping,Want,upi,clear
"could have skipped IRCTC, but chose to spend on it, for a leisure vacation",Travel,Want,semantic,clear
UPI-SERVICEPAYMENT-REF9303,Misc,Want,upi,clear
"the expense on Flipkart was unavoidable, for essential office supplies",Shopping,Want,semantic,clear
POS MERCHANT PAYMENT,Misc,Want,bank_statement,clear
"decided to grow long term savings through upGrad, to switch to a new career track",Education,Investment,semantic,clear
UPI-ALOCALPUB-ALOCALPUB@ICICI,Party,Want,upi,clear
BookMyShow to unwind after a long week,Entertainment,Want,merchant,context_dependent
Uber ride to college,Travel,Need,merchant,clear
POS PRACTO PAYMENT,Health,Need,bank_statement,clear
Tata Cliq required urgently for daily use,Shopping,Need,merchant,clear
POS COLLEGE FEE PAYMENT,Education,Investment,bank_statement,clear
POS GOIBIBO ONLINE,Travel,Need,bank_statement,clear
DMart for daily cooking needs,Groceries,Need,merchant,clear
"didn't really need Hotstar, but went ahead anyway, to unwind after a long week",Entertainment,Want,semantic,context_dependent
UPI-SPICEJET-756834@upi,Travel,Want,upi,clear
booked an auto because it was raining heavily on the way to work,Travel,Need,natural_language,context_dependent
bought a professional certification exam voucher,Education,Investment,natural_language,clear
"spent on Tata Cliq more for enjoyment than necessity, to try out a new trend",Shopping,Want,semantic,context_dependent
POS MSEDCL BILL PAYMENT,Bills,Need,bank_statement,clear
UPI-MSEDCL-852741@upi,Bills,Need,upi,clear
Burger King for a weekend treat,Food,Want,merchant,context_dependent
"the expense on Goibibo was unavoidable, for a mandatory office trip",Travel,Need,semantic,clear
POS SONY LIV ONLINE,Entertainment,Want,bank_statement,clear
BLINKIT TXN POS PURCHASE,Groceries,Need,bank_statement,clear
POS PAYTM WALLET LOAD,Misc,Need,bank_statement,clear
bought a fancy essential oil diffuser for relaxation,Health,Want,natural_language,clear
POS YATRA PAYMENT,Travel,Need,bank_statement,clear
UPI/DOMINOS/PIZZA ORDER/REF2291,Food,Want,upi,clear
UPI-ALOUNGEBAR-ALOUNGEBAR@PAYTM,Party,Want,upi,clear
Tata Power for the monthly electricity bill,Bills,Need,merchant,clear
Tata Power expense for the monthly electricity bill,Bills,Need,natural_language,clear
ration,Groceries,Need,short_keyword,ambiguous
splurged on DMart for an elaborate weekend cooking project,Groceries,Want,natural_language,context_dependent
"the expense on Swiggy was unavoidable, because there was no time to cook",Food,Need,semantic,clear
went for Star Bazaar to try some gourmet imported items,Groceries,Want,natural_language,clear
"set money aside for the future via Upstox, for a corporate bond purchase",Misc,Investment,semantic,clear
subscription renewal,Entertainment,Want,short_keyword,ambiguous
bought vegetables and daily essentials,Groceries,Need,natural_language,clear
UPI-PHARMEASY-867197@upi,Health,Need,upi,clear
UPI-CHAIWALA-9821XXXXXX,Food,Need,upi,clear
DELHI METRO TXN POS PURCHASE,Travel,Need,bank_statement,clear
"set money aside for the future via ET Money, for a recurring deposit",Misc,Investment,semantic,clear
FASTag expense to get to a work meeting,Travel,Need,natural_language,clear
Cult.fit expense for an emergency hospital visit,Health,Need,natural_language,clear
A LOCAL PUB TXN POS PURCHASE,Party,Want,bank_statement,clear
"didn't really need Haldiram's, but went ahead anyway, just out of a craving",Food,Want,semantic,context_dependent
had to pay for Meru Cabs for a mandatory office trip,Travel,Need,natural_language,clear
"spent on Practo more for enjoyment than necessity, for a fitness experiment",Health,Want,semantic,context_dependent
spent on KFC when there was nothing left in the fridge,Food,Need,natural_language,context_dependent
had no choice but to pay for JioMart since it was for basic household supplies,Groceries,Need,semantic,context_dependent
Netflix monthly subscription,Entertainment,Want,merchant,clear
CARD PAYMENT MAKEMYTRIP,Travel,Need,bank_statement,clear
"paid for 1mg Diagnostics purely out of necessity, as prescribed by the doctor",Health,Need,semantic,context_dependent
treated myself to Haldiram's just out of a craving,Food,Want,natural_language,context_dependent
took a flight for a spontaneous holiday with friends,Travel,Want,semantic,context_dependent
booked Faasos while studying for an exam late at night,Food,Need,natural_language,context_dependent
splurged on a rooftop bar for a farewell celebration,Party,Want,natural_language,clear
Jio postpaid mobile bill,Bills,Need,merchant,clear
Faasos for a movie night at home,Food,Want,merchant,clear
UPI/AIRTEL/PAYMENT/REF4053,Bills,Need,upi,clear
Blinkit quick grocery top up,Groceries,Need,merchant,clear
Vijay Sales required urgently for daily use,Shopping,Need,merchant,clear
UPI/SKILLSHARE/PAYMENT/REF5456,Education,Investment,upi,clear
"spent on Ajio more for enjoyment than necessity, as a small treat for myself",Shopping,Want,semantic,context_dependent
BYJU'S to learn a skill needed for my job,Education,Investment,merchant,clear
"didn't really need PVR, but went ahead anyway, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent
POS JIOMART PAYMENT,Groceries,Need,bank_statement,clear
bought breakfast on the way to the office,Food,Need,natural_language,clear
UPI-SNAPDEAL-SNAPDEAL@HDFC,Shopping,Want,upi,clear
Upstox for a stock market trade,Misc,Investment,merchant,clear
Netflix for the monthly subscription renewal,Entertainment,Want,merchant,clear
indulged in Rapido for a solo backpacking trip,Travel,Want,natural_language,clear
Subway while working late at the office,Food,Need,merchant,context_dependent
"spent on Ajio more for enjoyment than necessity, as a birthday gift for myself",Shopping,Want,semantic,context_dependent
"didn't really need Amazon Prime Video, but went ahead anyway, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent
"spent on Amazon Prime Video more for enjoyment than necessity, for the monthly subscription renewal",Entertainment,Want,semantic,context_dependent
Mumbai Metro monthly recharge,Travel,Need,merchant,clear
"decided to grow long term savings through Groww, for a gold bond purchase",Misc,Investment,semantic,clear
UPI-BEHROUZBIRYA-707169@upi,Food,Need,upi,clear
UPI-RAPIDO-780132@upi,Travel,Need,upi,clear
"could have skipped Blinkit, but chose to spend on it, for hosting a dinner party",Groceries,Want,semantic,context_dependent
splurged on Hotstar to unwind after a long week,Entertainment,Want,natural_language,context_dependent
bought a new phone even though the old one worked fine,Shopping,Want,natural_language,clear
UPI-APOLLOPHARMA-793571@upi,Health,Need,upi,clear
POS TATA SKY PAYMENT,Bills,Need,bank_statement,clear
donated to a local charity drive,Misc,Want,natural_language,clear
POS COIN BY ZERODHA PAYMENT,Misc,Investment,bank_statement,clear
PVR for binge watching over the weekend,Entertainment,Want,merchant,clear
POS THE LOUNGE BAR,Party,Want,bank_statement,clear
Amazon just because I liked the design,Shopping,Want,merchant,clear
UPI-COURSERA-CERT@HDFC,Education,Investment,upi,clear
UPI-MCDONALDS-866816@upi,Food,Want,upi,clear
indulged in Zomato with friends for a celebration,Food,Want,natural_language,clear
UPI/IRCTC/PAYMENT/REF3697,Travel,Want,upi,clear
Tata 1mg diagnostic test booking,Health,Need,merchant,clear
Lenskart during a big sale,Shopping,Want,merchant,clear
"the expense on Snapdeal was unavoidable, to replace a broken item",Shopping,Want,semantic,clear
UPI-WALLETTOPUP-REF8259,Misc,Want,upi,clear
UPI/MEESHO/PAYMENT/REF2013,Shopping,Want,upi,clear
paid the annual insurance premium for the car,Bills,Need,semantic,clear
Zomato with friends for a celebration,Food,Want,merchant,clear
UPI/INDIGO/PAYMENT/REF6279,Travel,Want,upi,clear
paid for a quick meal during the exam break,Food,Need,natural_language,clear
UPI-BLUSMART-BLUSMART@HDFC,Travel,Want,upi,clear
Paytm Money for a fixed deposit renewal,Misc,Investment,merchant,clear
"could have skipped Star Bazaar, but chose to spend on it, for hosting a dinner party",Groceries,Want,semantic,context_dependent
UPI-ZOMATO-ZOMATO@PAYTM,Food,Want,upi,clear
Burger King to try a new outlet everyone was talking about,Food,Want,merchant,context_dependent
UPI-MEDPLUS-MEDPLUS@PAYTM,Health,Need,upi,clear
POS NYKAA PAYMENT,Shopping,Want,bank_statement,clear
POS BOX8 PAYMENT,Food,Want,bank_statement,clear
Coin by Zerodha for a stock market trade,Misc,Investment,merchant,clear
CARD PAYMENT APOLLO PHARMACY,Health,Need,bank_statement,clear
SpiceJet for a leisure vacation,Travel,Want,merchant,clear
Zerodha for a stock market trade,Misc,Investment,merchant,clear
Barbeque Nation dinner for birthday,Food,Want,merchant,clear
visited the dentist for a routine checkup,Health,Need,natural_language,clear
contributed to ICICI Direct for a recurring deposit,Misc,Investment,natural_language,clear
Croma just because I liked the design,Shopping,Want,merchant,clear
Faasos while working late at the office,Food,Need,merchant,context_dependent
indulged in Myntra as a small treat for myself,Shopping,Want,natural_language,clear
paid for Nature's Basket for a festive celebration at home on a whim,Groceries,Want,natural_language,clear
CARD PAYMENT UNACADEMY,Education,Investment,bank_statement,clear
"paid for Nature's Basket purely out of necessity, for the monthly household stock-up",Groceries,Need,semantic,context_dependent
NETFLIX TXN POS PURCHASE,Entertainment,Want,bank_statement,clear
"could have skipped PharmEasy, but chose to spend on it, to try a new wellness trend",Health,Need,semantic,context_dependent
UPI/INOX/PAYMENT/REF5742,Entertainment,Want,upi,clear
new shoes,Shopping,Want,short_keyword,ambiguous
POS ZOMATO PAYMENT,Food,Want,bank_statement,clear
1mg Diagnostics after a doctor's referral,Health,Need,merchant,clear
POS ZOMATO ONLINE ORDER,Food,Want,bank_statement,clear
dinner order,Food,Want,short_keyword,ambiguous
Zepto instant grocery delivery,Groceries,Need,merchant,clear
POS COURSERA ONLINE,Education,Investment,bank_statement,clear
"spent on Wow Momo more for enjoyment than necessity, for a Sunday brunch tradition",Food,Want,semantic,context_dependent
Airtel for the postpaid mobile bill,Bills,Need,merchant,clear
Zerodha equity purchase,Misc,Investment,merchant,clear
UPI-KFC-718821@upi,Food,Need,upi,clear
MakeMyTrip flight booked for a leisure holiday,Travel,Want,merchant,clear
