text,category,type,input_style,ambiguity,group_id,split
UPI-ZEE5-ZEE5@ICICI,Entertainment,Want,upi,clear,entertainment_zee5,validation
CARD PAYMENT JIOMART,Groceries,Need,bank_statement,clear,bills_jio,validation
Star Bazaar for an elaborate weekend cooking project,Groceries,Want,merchant,context_dependent,groceries_star_bazaar,train
"booked INOX for binge watching over the weekend, just for fun",Entertainment,Want,natural_language,context_dependent,entertainment_inox,train
UPI-MEDPLUS-796494@upi,Health,Need,upi,clear,health_medplus,train
UPI-CROMA-STORE@SBI,Shopping,Want,upi,clear,shopping_croma,test
Fortis Hospital for an emergency hospital visit,Health,Need,merchant,clear,bills_vodafone,train
"paid for FASTag purely out of necessity, to reach the exam center",Travel,Need,semantic,context_dependent,travel_fastag,validation
Nykaa because everyone else already had it,Shopping,Want,merchant,context_dependent,shopping_nykaa,train
UPI-TATASKY-810036@upi,Bills,Need,upi,clear,scenario_bills_residual,train
UPI-UPGRAD-UPGRAD@HDFC,Education,Investment,upi,clear,education_upgrad,test
Star Bazaar to try some gourmet imported items,Groceries,Want,merchant,clear,groceries_star_bazaar,train
"spent on Spotify more for enjoyment than necessity, for the monthly subscription renewal",Entertainment,Want,semantic,context_dependent,entertainment_spotify,test
Ajio required urgently for daily use,Shopping,Need,merchant,clear,bills_jio,validation
paid school fees for the new academic year,Education,Investment,natural_language,clear,scenario_education_residual,train
BOX8 TXN POS PURCHASE,Food,Want,bank_statement,clear,food_box8,train
UPI/UNACADEMY/PAYMENT/REF3545,Education,Investment,upi,clear,education_unacademy,train
"the expense on Haldiram's was unavoidable, while working late at the office",Food,Need,semantic,context_dependent,food_haldiram,validation
UPI-FASTAG-FASTAG@ICICI,Travel,Want,upi,clear,travel_fastag,validation
IRCTC train ticket booked for a family wedding trip,Travel,Want,merchant,clear,travel_irctc,train
bought new spectacles as the old prescription was outdated,Shopping,Need,semantic,context_dependent,health_spectacles,train
Cult.fit premium gym membership,Health,Want,merchant,clear,health_cult_fit,train
UPI/GOIBIBO/PAYMENT/REF6442,Travel,Need,upi,clear,travel_goibibo,train
took a cab home instead of waiting for the last bus,Travel,Want,natural_language,clear,travel_bus_general,train
Zerodha for a recurring deposit,Misc,Investment,merchant,clear,misc_zerodha,train
used More Supermarket for basic household supplies,Groceries,Need,natural_language,clear,groceries_more_supermarket,train
UPI-BIGBASKET-987731@upi,Groceries,Need,upi,clear,groceries_bigbasket,test
IRCTC TXN POS PURCHASE,Travel,Want,bank_statement,clear,travel_irctc,train
PharmEasy monthly medicine order,Health,Need,merchant,clear,health_pharmeasy,test
MakeMyTrip flight for an urgent family emergency,Travel,Need,merchant,clear,travel_makemytrip,train
UPI-GROWW-INVESTMENT,Misc,Investment,upi,clear,misc_groww,train
UPI-STARBAZAAR-STARBAZAAR@PAYTM,Groceries,Need,upi,clear,groceries_star_bazaar,train
UPI/SPOTIFY/SUBSCRIPTION/REF6621,Entertainment,Want,upi,clear,entertainment_spotify,test
Amazon because the old one stopped working,Shopping,Need,merchant,context_dependent,shopping_amazon,train
CARD PAYMENT RAPIDO,Travel,Want,bank_statement,clear,travel_rapido,test
POS purchase,Misc,Want,short_keyword,ambiguous,shopping_general_retail,validation
"could have skipped Ola, but chose to spend on it, for a weekend getaway",Travel,Want,semantic,clear,travel_ola,train
UPI-MAXHEALTHCAR-MAXHEALTHCAR@ICICI,Health,Need,upi,clear,health_max_healthcare,train
"paid for Behrouz Biryani purely out of necessity, while working late at the office",Food,Need,semantic,context_dependent,food_behrouz,train
treated myself to a lounge bar during a bachelor party night out,Party,Want,natural_language,clear,party_lounge_bar,test
bought a required lab manual for the semester,Education,Need,natural_language,clear,education_academic_general,train
paid for PVR to catch a live concert on a whim,Entertainment,Want,natural_language,clear,entertainment_pvr,train
McDonald's while studying for an exam late at night,Food,Need,merchant,context_dependent,food_mcdonald,train
put money into LinkedIn Learning to boost my career prospects,Education,Investment,natural_language,context_dependent,education_linkedin_learning,train
Delhi Metro for a mandatory office trip,Travel,Need,merchant,clear,travel_delhi_metro,train
"didn't really need McDonald's, but went ahead anyway, with friends for a celebration",Food,Want,semantic,clear,food_mcdonald,train
contributed to Groww for a monthly SIP,Misc,Investment,natural_language,clear,misc_groww,train
UPI-ZERODHA-867183@upi,Misc,Investment,upi,clear,misc_zerodha,train
UPI-AMAZONPRIMEV-763897@upi,Entertainment,Want,upi,clear,shopping_amazon,train
had to pay for MedPlus after a doctor's referral,Health,Need,natural_language,clear,health_medplus,train
society maintenance charges for the month,Bills,Need,natural_language,clear,bills_housing_society,train
UPI/ZEPTO/PAYMENT/REF2311,Groceries,Need,upi,clear,groceries_zepto,train
BYJU'S as a personal hobby class,Education,Want,merchant,clear,education_byju,test
POS MYNTRA ONLINE,Shopping,Want,bank_statement,clear,shopping_myntra,train
ate out at a fancy restaurant purely for the experience,Food,Want,semantic,context_dependent,food_fancy_restaurant,validation
POS SNAPDEAL ONLINE,Shopping,Want,bank_statement,clear,shopping_snapdeal,validation
POS RELIANCE DIGITAL PAYMENT,Shopping,Want,bank_statement,clear,shopping_reliance_digital,validation
UPI-AROOFTOPBAR-AROOFTOPBAR@AXIS,Party,Want,upi,clear,party_rooftop_bar,validation
VIJAY SALES TXN POS PURCHASE,Shopping,Want,bank_statement,clear,bills_vodafone,train
movie,Entertainment,Want,short_keyword,ambiguous,bills_vodafone,train
splurged on Practo for a fitness experiment,Health,Want,natural_language,clear,health_practo,validation
POS MEESHO ONLINE,Shopping,Want,bank_statement,clear,shopping_meesho,train
digital payment,Misc,Want,natural_language,clear,misc_general_banking,train
JioCinema for a weekend movie outing with friends,Entertainment,Want,merchant,clear,bills_jio,validation
"spent on EatSure more for enjoyment than necessity, for a Sunday brunch tradition",Food,Want,semantic,context_dependent,food_eatsure,train
"didn't really need Tata 1mg, but went ahead anyway, for a fitness experiment",Health,Need,semantic,clear,health_1mg,train
EatSure for a Sunday brunch tradition,Food,Want,merchant,clear,food_eatsure,train
UPI-BLUSMART-BLUSMART@PAYTM,Travel,Need,upi,clear,travel_blusmart,train
UPI-NETMEDS-NETMEDS@ICICI,Health,Need,upi,clear,health_netmeds,test
CARD PAYMENT SONY LIV,Entertainment,Want,bank_statement,clear,entertainment_sonyliv,train
paid toll charges while commuting to work every day,Travel,Need,semantic,clear,travel_toll,test
went for Lenskart to try out a new trend,Shopping,Want,natural_language,clear,shopping_lenskart,train
treated myself to JioCinema for a birthday movie marathon,Entertainment,Want,natural_language,context_dependent,bills_jio,validation
POS CAFE COFFEE DAY MUMBAI,Food,Want,bank_statement,clear,scenario_food_residual,train
Tata Sky for the DTH subscription recharge,Bills,Need,merchant,clear,scenario_bills_residual,train
POS TRAVEL BOOKING,Travel,Want,bank_statement,clear,scenario_travel_residual,test
stock investment,Misc,Investment,natural_language,clear,scenario_misc_residual,train
had to pay for DMart to restock the kitchen essentials,Groceries,Need,natural_language,clear,groceries_dmart,train
"paid for Ola purely out of necessity, to get to a work meeting",Travel,Need,semantic,context_dependent,travel_ola,train
used EatSure during a family emergency at home,Food,Need,natural_language,context_dependent,food_eatsure,train
UPI-OLA-OLA@YBL,Travel,Want,upi,clear,travel_ola,train
paid for KFC during a family emergency at home,Food,Need,natural_language,context_dependent,food_kfc,train
Upstox stock trade,Misc,Investment,merchant,clear,misc_upstox,train
had no choice but to pay for PharmEasy since it was after a doctor's referral,Health,Need,semantic,context_dependent,health_pharmeasy,test
"paid for Yatra purely out of necessity, for a mandatory office trip",Travel,Need,semantic,context_dependent,travel_yatra,train
gold ETF purchase for long term saving,Misc,Investment,semantic,clear,bills_vodafone,train
UPI-VISTARA-VISTARA@PAYTM,Travel,Want,upi,clear,bills_vodafone,train
"could have skipped upGrad, but chose to spend on it, purely for personal enrichment",Education,Want,semantic,context_dependent,education_upgrad,test
ATM cash withdrawal,Misc,Need,bank_statement,clear,misc_atm_cash,train
Zomato meal ordered during a late hospital visit,Food,Need,merchant,clear,food_zomato,test
treated myself to Netflix to unwind after a long week,Entertainment,Want,natural_language,context_dependent,entertainment_netflix,train
A BREWERY TXN POS PURCHASE,Party,Want,bank_statement,clear,party_brewery,train
bought a monthly local train pass for office,Travel,Need,natural_language,clear,travel_irctc,train
UPI-STARBAZAAR-STARBAZAAR@HDFC,Groceries,Need,upi,clear,groceries_star_bazaar,train
"the expense on Cult.fit was unavoidable, to get a diagnostic test done",Health,Need,semantic,clear,health_cult_fit,train
UPI-INDIGO-INDIGO@YBL,Travel,Need,upi,clear,travel_indigo,train
CARD PAYMENT MSEDCL,Bills,Need,bank_statement,clear,bills_msedcl,train
Coin by Zerodha for a recurring deposit,Misc,Investment,merchant,clear,misc_zerodha,train
Zee5 to catch a live concert,Entertainment,Want,merchant,clear,entertainment_zee5,validation
had no choice but to pay for Tata 1mg since it was for an emergency hospital visit,Health,Need,semantic,context_dependent,bills_vodafone,train
Swiggy because there was no time to cook,Food,Need,merchant,clear,food_swiggy,test
bought alcohol for a house party,Party,Want,natural_language,clear,party_house_party,train
ICICI Direct for a monthly SIP,Misc,Investment,merchant,clear,scenario_misc_residual,train
UPI-CROMA-CROMA@SBI,Shopping,Want,upi,clear,shopping_croma,test
UPI/RENT/LANDLORD/REF1123,Bills,Need,upi,clear,bills_rent,train
CARD PAYMENT CULT FIT,Health,Want,bank_statement,clear,health_cult_fit,train
UPI/RAPIDO/BIKE RIDE/REF3341,Travel,Need,upi,clear,travel_rapido,test
CARD PAYMENT ZERODHA,Misc,Investment,bank_statement,clear,misc_zerodha,train
UPI-TATACLIQ-TATACLIQ@HDFC,Shopping,Want,upi,clear,shopping_tata_cliq,train
booked tickets to a music festival months in advance,Entertainment,Want,semantic,clear,entertainment_music_fest,test
"paid for Uber purely out of necessity, for a job interview across town",Travel,Need,semantic,context_dependent,travel_uber,validation
spent on Burger King during a busy workday,Food,Need,natural_language,context_dependent,food_burger_king,train
UPI-MSEDCL-BILLPAY@SBI,Bills,Need,upi,clear,bills_msedcl,train
Ola cab for office commute,Travel,Need,merchant,clear,travel_ola,train
"didn't really need Cult.fit, but went ahead anyway, to try a trending supplement",Health,Want,semantic,clear,health_cult_fit,train
a brewery during a bachelor party night out,Party,Want,merchant,clear,party_brewery,train
had to pay for Great Learning required to pass the course,Education,Investment,natural_language,clear,education_great_learning,validation
ordered food for a small get together at home,Food,Want,natural_language,clear,scenario_food_residual,train
UPI-BSES-BSES@YBL,Bills,Need,upi,clear,bills_bses,test
POS TATA 1MG DIAGNOSTICS,Health,Need,bank_statement,clear,health_1mg,train
Meesho to try out a new trend,Shopping,Want,merchant,clear,shopping_meesho,train
HOTSTAR TXN POS PURCHASE,Entertainment,Want,bank_statement,clear,entertainment_hotstar,train
used DMart for daily cooking needs,Groceries,Need,natural_language,clear,groceries_dmart,train
TATA CLIQ TXN POS PURCHASE,Shopping,Want,bank_statement,clear,shopping_tata_cliq,train
POS BLUSMART PAYMENT,Travel,Want,bank_statement,clear,travel_blusmart,train
put money into Groww for a recurring deposit,Misc,Investment,natural_language,clear,misc_groww,train
contributed to ICICI Direct for a fixed deposit renewal,Misc,Investment,natural_language,clear,misc_fixed_deposit,train
FASTag to rush to the hospital,Travel,Need,merchant,context_dependent,travel_fastag,validation
UPI-AMAZON-766020@upi,Shopping,Want,upi,clear,shopping_amazon,train
POS SUBSCRIPTION CHARGE,Entertainment,Want,bank_statement,clear,scenario_entertainment_residual,train
ICICI Direct for a stock market trade,Misc,Investment,merchant,clear,scenario_misc_residual,train
POS INDIGO PAYMENT,Travel,Want,bank_statement,clear,travel_indigo,train
IndiGo for a solo backpacking trip,Travel,Want,merchant,clear,travel_indigo,train
weekend flight for vacation,Travel,Want,natural_language,clear,scenario_travel_residual,test
ordered food online again even though groceries were at home,Food,Want,semantic,clear,groceries_ration_general,train
POS NATURES BASKET GOURMET,Groceries,Want,bank_statement,clear,groceries_natures_basket,train
"didn't really need Subway, but went ahead anyway, for a weekend treat",Food,Want,semantic,context_dependent,food_subway,train
EMI,Bills,Need,short_keyword,ambiguous,scenario_bills_residual,train
POS UPI TRANSFER,Misc,Want,bank_statement,clear,misc_general_banking,train
ordered dinner because I got home too late to cook,Food,Need,semantic,clear,food_general_dining,train
UPI-STARBAZAAR-902558@upi,Groceries,Need,upi,clear,groceries_star_bazaar,train
POS VODAFONE IDEA PAYMENT,Bills,Need,bank_statement,clear,bills_vodafone,train
"paid for Haldiram's purely out of necessity, during a family emergency at home",Food,Need,semantic,context_dependent,food_haldiram,validation
"booked Unacademy purely for personal enrichment, just for fun",Education,Want,natural_language,context_dependent,education_unacademy,train
"paid for Burger King purely out of necessity, during a busy workday",Food,Need,semantic,context_dependent,food_burger_king,train
"spent on BluSmart more for enjoyment than necessity, to explore a new city",Travel,Want,semantic,context_dependent,travel_blusmart,train
PPF deposit,Misc,Investment,natural_language,clear,scenario_misc_residual,train
CARD PAYMENT MUMBAI METRO,Travel,Need,bank_statement,clear,travel_mumbai_metro,train
JioMart imported cheese and gourmet snacks,Groceries,Want,merchant,clear,bills_jio,validation
"didn't really need Amazon, but went ahead anyway, as a birthday gift for myself",Shopping,Want,semantic,clear,shopping_amazon,train
Croma for a work-from-home setup,Shopping,Need,merchant,clear,shopping_croma,test
paid for upGrad compulsory for the degree program,Education,Need,natural_language,clear,education_upgrad,test
booked KFC between back to back lectures,Food,Need,natural_language,clear,food_kfc,train
electricity bill,Bills,Need,short_keyword,clear,bills_electricity_general,test
splurged on Zee5 for binge watching over the weekend,Entertainment,Want,natural_language,clear,entertainment_zee5,validation
Adani Electricity bill payment,Bills,Need,merchant,clear,bills_adani_electricity,train
paid for Amazon as a birthday gift for myself on a whim,Shopping,Want,natural_language,clear,shopping_amazon,train
"spent on MedPlus more for enjoyment than necessity, for a skincare experiment",Health,Need,semantic,context_dependent,health_medplus,train
UPI/BLINKIT/GROCERY/REF7712,Groceries,Need,upi,clear,groceries_blinkit,train
treated myself to Unacademy as a personal hobby class,Education,Want,natural_language,clear,education_unacademy,train
indulged in Meru Cabs for a solo backpacking trip,Travel,Want,natural_language,clear,travel_meru,train
UPI-CASHBACKAPP-REWARDS,Misc,Want,upi,clear,misc_cashback_rewards,train
Spencer's to try some gourmet imported items,Groceries,Want,merchant,clear,groceries_spencer,train
UPI-VODAFONEIDEA-VODAFONEIDEA@PAYTM,Bills,Need,upi,clear,bills_vodafone,train
Coin by Zerodha for a fixed deposit renewal,Misc,Investment,merchant,clear,misc_zerodha,train
UPI-ICICIDIRECT-786506@upi,Misc,Investment,upi,clear,scenario_misc_residual,train
VODAFONE IDEA TXN POS PURCHASE,Bills,Need,bank_statement,clear,bills_vodafone,train
CARD PAYMENT MEESHO,Shopping,Want,bank_statement,clear,shopping_meesho,train
booked MakeMyTrip to rush to the hospital,Travel,Need,natural_language,context_dependent,travel_makemytrip,train
UPI/SUBWAY/PAYMENT/REF7267,Food,Want,upi,clear,food_subway,train
bought a designer bag just because I liked it,Shopping,Want,natural_language,clear,scenario_shopping_residual,train
a nightclub for a friend's birthday celebration,Party,Want,merchant,clear,party_nightclub,test
PharmEasy to get a diagnostic test done,Health,Need,merchant,clear,health_pharmeasy,test
UPI-MYNTRA-989058@upi,Shopping,Want,upi,clear,shopping_myntra,train
treated myself to a lounge bar for a New Year's party,Party,Want,natural_language,clear,party_lounge_bar,test
"paid for Reliance Digital purely out of necessity, required urgently for daily use",Shopping,Need,semantic,context_dependent,shopping_reliance_digital,validation
food order,Food,Want,natural_language,clear,scenario_food_residual,train
"could have skipped Goibibo, but chose to spend on it, to visit relatives during the holidays",Travel,Want,semantic,clear,travel_goibibo,train
FASTag to get to a work meeting,Travel,Need,merchant,clear,travel_fastag,validation
MAX HEALTHCARE TXN POS PURCHASE,Health,Need,bank_statement,clear,health_max_healthcare,train
"the expense on Uber was unavoidable, for a mandatory office trip",Travel,Need,semantic,clear,travel_uber,validation
POS NETMEDS ONLINE,Health,Need,bank_statement,clear,health_netmeds,test
POS HP GAS PAYMENT,Bills,Need,bank_statement,clear,bills_hp_gas,train
brunch,Food,Want,short_keyword,ambiguous,scenario_food_residual,train
UPI-COURSERA-774538@upi,Education,Investment,upi,clear,education_coursera,train
cab fare,Travel,Want,short_keyword,ambiguous,travel_cab_general,validation
Ola outstation trip for a weekend getaway,Travel,Want,merchant,clear,travel_ola,train
Zepto to try some gourmet imported items,Groceries,Want,merchant,clear,groceries_zepto,train
UPI/FLIPKART/PAYMENT/REF1710,Shopping,Want,upi,clear,shopping_flipkart,train
flew business class for a personal vacation,Travel,Want,natural_language,clear,travel_bus_general,train
UPI-AJIO-781123@upi,Shopping,Want,upi,clear,bills_jio,validation
"could have skipped IRCTC, but chose to spend on it, for a leisure vacation",Travel,Want,semantic,clear,travel_irctc,train
UPI-SERVICEPAYMENT-REF9303,Misc,Want,upi,clear,bills_vodafone,train
"the expense on Flipkart was unavoidable, for essential office supplies",Shopping,Want,semantic,clear,shopping_flipkart,train
POS MERCHANT PAYMENT,Misc,Want,bank_statement,clear,scenario_misc_residual,train
"decided to grow long term savings through upGrad, to switch to a new career track",Education,Investment,semantic,clear,bills_vodafone,train
UPI-ALOCALPUB-ALOCALPUB@ICICI,Party,Want,upi,clear,party_local_pub,train
BookMyShow to unwind after a long week,Entertainment,Want,merchant,context_dependent,entertainment_bookmyshow,train
Uber ride to college,Travel,Need,merchant,clear,travel_uber,validation
POS PRACTO PAYMENT,Health,Need,bank_statement,clear,health_practo,validation
Tata Cliq required urgently for daily use,Shopping,Need,merchant,clear,shopping_tata_cliq,train
POS COLLEGE FEE PAYMENT,Education,Investment,bank_statement,clear,education_academic_general,train
POS GOIBIBO ONLINE,Travel,Need,bank_statement,clear,travel_goibibo,train
DMart for daily cooking needs,Groceries,Need,merchant,clear,groceries_dmart,train
"didn't really need Hotstar, but went ahead anyway, to unwind after a long week",Entertainment,Want,semantic,context_dependent,entertainment_hotstar,train
UPI-SPICEJET-756834@upi,Travel,Want,upi,clear,travel_spicejet,train
booked an auto because it was raining heavily on the way to work,Travel,Need,natural_language,context_dependent,travel_auto,train
bought a professional certification exam voucher,Education,Investment,natural_language,clear,scenario_education_residual,train
"spent on Tata Cliq more for enjoyment than necessity, to try out a new trend",Shopping,Want,semantic,context_dependent,shopping_tata_cliq,train
POS MSEDCL BILL PAYMENT,Bills,Need,bank_statement,clear,bills_msedcl,train
UPI-MSEDCL-852741@upi,Bills,Need,upi,clear,bills_msedcl,train
Burger King for a weekend treat,Food,Want,merchant,context_dependent,food_burger_king,train
"the expense on Goibibo was unavoidable, for a mandatory office trip",Travel,Need,semantic,clear,travel_goibibo,train
POS SONY LIV ONLINE,Entertainment,Want,bank_statement,clear,entertainment_sonyliv,train
BLINKIT TXN POS PURCHASE,Groceries,Need,bank_statement,clear,groceries_blinkit,train
POS PAYTM WALLET LOAD,Misc,Need,bank_statement,clear,misc_general_banking,train
bought a fancy essential oil diffuser for relaxation,Health,Want,natural_language,clear,health_diffuser,test
POS YATRA PAYMENT,Travel,Need,bank_statement,clear,travel_yatra,train
UPI/DOMINOS/PIZZA ORDER/REF2291,Food,Want,upi,clear,food_domino,train
UPI-ALOUNGEBAR-ALOUNGEBAR@PAYTM,Party,Want,upi,clear,party_lounge_bar,test
Tata Power for the monthly electricity bill,Bills,Need,merchant,clear,bills_tata_power,train
Tata Power expense for the monthly electricity bill,Bills,Need,natural_language,clear,bills_tata_power,train
ration,Groceries,Need,short_keyword,ambiguous,groceries_ration_general,train
splurged on DMart for an elaborate weekend cooking project,Groceries,Want,natural_language,context_dependent,groceries_dmart,train
"the expense on Swiggy was unavoidable, because there was no time to cook",Food,Need,semantic,clear,food_swiggy,test
went for Star Bazaar to try some gourmet imported items,Groceries,Want,natural_language,clear,groceries_star_bazaar,train
"set money aside for the future via Upstox, for a corporate bond purchase",Misc,Investment,semantic,clear,bills_vodafone,train
subscription renewal,Entertainment,Want,short_keyword,ambiguous,scenario_entertainment_residual,train
bought vegetables and daily essentials,Groceries,Need,natural_language,clear,groceries_ration_general,train
UPI-PHARMEASY-867197@upi,Health,Need,upi,clear,health_pharmeasy,test
UPI-CHAIWALA-9821XXXXXX,Food,Need,upi,clear,food_chai_tapri,train
DELHI METRO TXN POS PURCHASE,Travel,Need,bank_statement,clear,travel_delhi_metro,train
"set money aside for the future via ET Money, for a recurring deposit",Misc,Investment,semantic,clear,bills_vodafone,train
FASTag expense to get to a work meeting,Travel,Need,natural_language,clear,travel_fastag,validation
Cult.fit expense for an emergency hospital visit,Health,Need,natural_language,clear,bills_vodafone,train
A LOCAL PUB TXN POS PURCHASE,Party,Want,bank_statement,clear,party_local_pub,train
"didn't really need Haldiram's, but went ahead anyway, just out of a craving",Food,Want,semantic,context_dependent,food_haldiram,validation
